Date : 2023-05-28 17:19:59
Directory : /Users/shanehogan/development/white_ui_supabase4
Total : 141 files,  9358 codes, 933 comments, 963 blanks, all 11254 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib/auxiliaries/helpers/formatters                                                                                    |          1 |         64 |         22 |          5 |         91 |
| lib/auxiliaries/helpers/popups                                                                                        |          3 |         88 |         11 |         10 |        109 |
| lib/auxiliaries/helpers/states                                                                                        |          2 |         25 |          0 |         11 |         36 |
| lib/auxiliaries/models                                                                                                |          9 |        557 |         16 |         52 |        625 |
| lib/auxiliaries/repos                                                                                                 |          8 |        686 |         70 |         65 |        821 |
| lib/auxiliaries/widgets                                                                                               |         26 |      1,219 |        178 |         89 |      1,486 |
| lib/pages                                                                                                             |         58 |      5,375 |        458 |        576 |      6,409 |
| lib/pages/authenticated                                                                                               |         29 |      3,679 |        402 |        367 |      4,448 |
| lib/pages/authenticated/app_view                                                                                      |          4 |        347 |        112 |         53 |        512 |
| lib/pages/authenticated/friends                                                                                       |          7 |        907 |         26 |         77 |      1,010 |
| lib/pages/authenticated/likes                                                                                         |          1 |         27 |          3 |          3 |         33 |
| lib/pages/authenticated/meet                                                                                          |          9 |      1,297 |        205 |        121 |      1,623 |
| lib/pages/authenticated/meet (Files)                                                                                  |          5 |        823 |        166 |         73 |      1,062 |
| lib/pages/authenticated/meet/crew                                                                                     |          4 |        474 |         39 |         48 |        561 |
| lib/pages/authenticated/profile                                                                                       |          8 |      1,101 |         56 |        113 |      1,270 |
| lib/pages/authenticated/profile/edit_profile                                                                          |          4 |        668 |          9 |         81 |        758 |
| lib/pages/authenticated/profile/view_profile                                                                          |          4 |        433 |         47 |         32 |        512 |
| lib/pages/onboarding                                                                                                  |          6 |        724 |         23 |         52 |        799 |
| lib/pages/onboarding (Files)                                                                                          |          3 |         62 |          0 |         13 |         75 |
| lib/pages/onboarding/screens                                                                                          |          3 |        662 |         23 |         39 |        724 |
| lib/pages/unauthenticated                                                                                             |         23 |        972 |         33 |        157 |      1,162 |
| lib/pages/unauthenticated/app_intro                                                                                   |          6 |        266 |          0 |         45 |        311 |
| lib/pages/unauthenticated/app_intro (Files)                                                                           |          1 |         99 |          0 |          9 |        108 |
| lib/pages/unauthenticated/app_intro/pages                                                                             |          5 |        167 |          0 |         36 |        203 |
| lib/pages/unauthenticated/auth                                                                                        |         17 |        706 |         33 |        112 |        851 |
| lib/pages/unauthenticated/auth (Files)                                                                                |          3 |         77 |          6 |         15 |         98 |
| lib/pages/unauthenticated/auth/dob                                                                                    |          4 |        195 |          8 |         29 |        232 |
| lib/pages/unauthenticated/auth/name                                                                                   |          4 |        148 |          4 |         25 |        177 |
| lib/pages/unauthenticated/auth/phone                                                                                  |          6 |        286 |         15 |         43 |        344 |
| lib/session_navigation                                                                                                |          3 |        145 |          3 |         22 |        170 |
| test                                                                                                                  |          1 |          0 |         24 |          7 |         31 |
| web                                                                                                                   |          2 |        115 |         18 |          8 |        141 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/shanehogan/development/white_ui_supabase4/README.md                                                            | Markdown   |         10 |          0 |          7 |         17 |
| /Users/shanehogan/development/white_ui_supabase4/analysis_options.yaml                                                | YAML       |          3 |         23 |          4 |         30 |
| /Users/shanehogan/development/white_ui_supabase4/android/app/build.gradle                                             | Groovy     |         53 |          3 |         13 |         69 |
| /Users/shanehogan/development/white_ui_supabase4/android/app/src/debug/AndroidManifest.xml                            | XML        |          4 |          3 |          1 |          8 |
| /Users/shanehogan/development/white_ui_supabase4/android/app/src/main/AndroidManifest.xml                             | XML        |         28 |          6 |          1 |         35 |
| /Users/shanehogan/development/white_ui_supabase4/android/app/src/main/res/drawable-v21/launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| /Users/shanehogan/development/white_ui_supabase4/android/app/src/main/res/drawable/launch_background.xml              | XML        |          4 |          7 |          2 |         13 |
| /Users/shanehogan/development/white_ui_supabase4/android/app/src/main/res/values-night/styles.xml                     | XML        |          9 |          9 |          1 |         19 |
| /Users/shanehogan/development/white_ui_supabase4/android/app/src/main/res/values/styles.xml                           | XML        |          9 |          9 |          1 |         19 |
| /Users/shanehogan/development/white_ui_supabase4/android/app/src/profile/AndroidManifest.xml                          | XML        |          4 |          3 |          1 |          8 |
| /Users/shanehogan/development/white_ui_supabase4/android/build.gradle                                                 | Groovy     |         27 |          0 |          5 |         32 |
| /Users/shanehogan/development/white_ui_supabase4/android/gradle.properties                                            | Properties |          3 |          0 |          1 |          4 |
| /Users/shanehogan/development/white_ui_supabase4/android/gradle/wrapper/gradle-wrapper.properties                     | Properties |          5 |          1 |          1 |          7 |
| /Users/shanehogan/development/white_ui_supabase4/android/settings.gradle                                              | Groovy     |          8 |          0 |          4 |         12 |
| /Users/shanehogan/development/white_ui_supabase4/ios/Runner/AppDelegate.swift                                         | Swift      |         12 |          0 |          2 |         14 |
| /Users/shanehogan/development/white_ui_supabase4/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json          | JSON       |        122 |          0 |          1 |        123 |
| /Users/shanehogan/development/white_ui_supabase4/ios/Runner/Assets.xcassets/Contents.json                             | JSON       |          6 |          0 |          1 |          7 |
| /Users/shanehogan/development/white_ui_supabase4/ios/Runner/Assets.xcassets/appstore.imageset/Contents.json           | JSON       |         23 |          0 |          1 |         24 |
| /Users/shanehogan/development/white_ui_supabase4/ios/Runner/Assets.xcassets/appstore.imageset/README.md               | Markdown   |          3 |          0 |          2 |          5 |
| /Users/shanehogan/development/white_ui_supabase4/ios/Runner/Base.lproj/LaunchScreen.storyboard                        | XML        |         36 |          1 |          1 |         38 |
| /Users/shanehogan/development/white_ui_supabase4/ios/Runner/Base.lproj/Main.storyboard                                | XML        |         25 |          1 |          1 |         27 |
| /Users/shanehogan/development/white_ui_supabase4/ios/Runner/Runner-Bridging-Header.h                                  | C++        |          1 |          0 |          1 |          2 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/formatters/date_textfield_formatter.dart     | Dart       |         64 |         22 |          5 |         91 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/local_functions.dart                         | Dart       |        480 |          2 |         23 |        505 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/palette.dart                                 | Dart       |         18 |          1 |          2 |         21 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/popups/create_route_popup.dart               | Dart       |         16 |          0 |          4 |         20 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/popups/image_source_sheet.dart               | Dart       |         63 |         11 |          4 |         78 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/popups/snack_bar.dart                        | Dart       |          9 |          0 |          2 |         11 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/precache_image_data.dart                     | Dart       |         27 |          1 |          3 |         31 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/scroll_to_hide_widget.dart                   | Dart       |         43 |          1 |         11 |         55 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/states/form_submission_status.dart           | Dart       |         12 |          0 |          6 |         18 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/states/loading_state.dart                    | Dart       |         13 |          0 |          5 |         18 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/crew.dart                                     | Dart       |         92 |          8 |          6 |        106 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/crew_request.dart                             | Dart       |         37 |          1 |          5 |         43 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/friend_request.dart                           | Dart       |         32 |          1 |          6 |         39 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/friendship.dart                               | Dart       |         29 |          1 |          6 |         36 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/like.dart                                     | Dart       |         45 |          1 |          6 |         52 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/match.dart                                    | Dart       |         55 |          0 |          5 |         60 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/match_confirmation.dart                       | Dart       |         59 |          1 |          6 |         66 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/profile.dart                                  | Dart       |        182 |          2 |          7 |        191 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/venue.dart                                    | Dart       |         26 |          1 |          5 |         32 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/auth_repository.dart                           | Dart       |        165 |         36 |         12 |        213 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/crew_repository.dart                           | Dart       |        148 |         15 |         11 |        174 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/droptime_repository.dart                       | Dart       |         22 |          0 |          5 |         27 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/friends_repository.dart                        | Dart       |         89 |          3 |         10 |        102 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/likes_repository.dart                          | Dart       |         80 |          3 |          5 |         88 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/misc_functions_repository.dart                 | Dart       |        156 |         13 |         16 |        185 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/storage_repository.dart                        | Dart       |         25 |          0 |          5 |         30 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/venues_repository.dart                         | Dart       |          1 |          0 |          1 |          2 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/app_bars.dart                                | Dart       |         43 |          4 |          4 |         51 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/avatar.dart                                  | Dart       |         34 |          0 |          2 |         36 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/button_dialog.dart                           | Dart       |         45 |          6 |          2 |         53 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/choice_button.dart                           | Dart       |         58 |          0 |          4 |         62 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/continue_button.dart                         | Dart       |         31 |          0 |          2 |         33 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/empty_screen.dart                            | Dart       |         20 |          3 |          2 |         25 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/friend_avatar.dart                           | Dart       |         34 |          2 |          2 |         38 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/friends_widget.dart                          | Dart       |         75 |         22 |          3 |        100 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/generic_black_text_button.dart               | Dart       |         10 |          0 |          2 |         12 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/group_card.dart                              | Dart       |        180 |         56 |         15 |        251 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/group_image_small.dart                       | Dart       |         44 |          1 |          4 |         49 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/input_border.dart                            | Dart       |         12 |          0 |          2 |         14 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/intro_page_skeleton.dart                     | Dart       |         23 |          0 |          2 |         25 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/iphone_image_container.dart                  | Dart       |         35 |          1 |          2 |         38 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/loading_view.dart                            | Dart       |         13 |          0 |          4 |         17 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/match_history_widget.dart                    | Dart       |        138 |         45 |          7 |        190 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/notifications_red_bubble.dart                | Dart       |         25 |          0 |          2 |         27 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/page_loading_view.dart                       | Dart       |         13 |          0 |          2 |         15 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/profile_picture.dart                         | Dart       |         45 |          0 |          2 |         47 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/profile_tile.dart                            | Dart       |          9 |          0 |          2 |         11 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/text_form_field.dart                         | Dart       |         31 |          1 |          3 |         35 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/update_first_blur.dart                       | Dart       |         48 |         25 |          3 |         76 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/user_card.dart                               | Dart       |         54 |          1 |          4 |         59 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/user_image_small.dart                        | Dart       |         44 |          0 |          4 |         48 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/video.dart                                   | Dart       |         13 |          0 |          2 |         15 |
| /Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/view_user.dart                               | Dart       |        142 |         11 |          6 |        159 |
| /Users/shanehogan/development/white_ui_supabase4/lib/main.dart                                                        | Dart       |         80 |          0 |          5 |         85 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view.dart                       | Dart       |        202 |         61 |         15 |        278 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_bloc.dart                  | Dart       |         92 |         47 |         16 |        155 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_event.dart                 | Dart       |         32 |          0 |         17 |         49 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_state.dart                 | Dart       |         21 |          4 |          5 |         30 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friend_list_screen.dart              | Dart       |        159 |         18 |          8 |        185 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friend_request_screen.dart           | Dart       |        149 |          1 |          9 |        159 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_bloc.dart                    | Dart       |        188 |          0 |         19 |        207 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_event.dart                   | Dart       |         34 |          0 |         18 |         52 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_state.dart                   | Dart       |         48 |          0 |          4 |         52 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_view.dart                    | Dart       |        229 |          6 |         12 |        247 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/invite_contacts.dart                 | Dart       |        100 |          1 |          7 |        108 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/basic_likes_view.dart                  | Dart       |         27 |          3 |          3 |         33 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_bloc.dart             | Dart       |         94 |          0 |         10 |        104 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_event.dart            | Dart       |         32 |          0 |         15 |         47 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_screen.dart           | Dart       |        311 |         39 |         19 |        369 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_state.dart            | Dart       |         37 |          0 |          4 |         41 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/match_list_screen.dart                  | Dart       |         48 |        135 |          7 |        190 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_bloc.dart                          | Dart       |        138 |         10 |         16 |        164 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_event.dart                         | Dart       |         39 |          0 |         19 |         58 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_state.dart                         | Dart       |         70 |          5 |          4 |         79 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_view.dart                          | Dart       |        528 |         16 |         27 |        571 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile.dart       | Dart       |        391 |          9 |         25 |        425 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile_bloc.dart  | Dart       |        155 |          0 |         23 |        178 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile_event.dart | Dart       |         47 |          0 |         26 |         73 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile_state.dart | Dart       |         75 |          0 |          7 |         82 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view.dart       | Dart       |        274 |         16 |         13 |        303 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_bloc.dart  | Dart       |        101 |         19 |          8 |        128 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_event.dart | Dart       |          9 |          0 |          6 |         15 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_state.dart | Dart       |         49 |         12 |          5 |         66 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_cubit.dart                           | Dart       |         31 |          0 |          7 |         38 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_navigator.dart                       | Dart       |         30 |          0 |          5 |         35 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_state.dart                           | Dart       |          1 |          0 |          1 |          2 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/contacts_screen.dart                    | Dart       |        319 |         12 |         16 |        347 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/profile_photo_screen.dart               | Dart       |        150 |          4 |          8 |        162 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/update_profile_screen.dart              | Dart       |        193 |          7 |         15 |        215 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/intro_page_view.dart             | Dart       |         99 |          0 |          9 |        108 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_five.dart       | Dart       |         39 |          0 |          8 |         47 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_four.dart       | Dart       |         39 |          0 |          8 |         47 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_one.dart        | Dart       |         15 |          0 |          4 |         19 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_three.dart      | Dart       |         39 |          0 |          8 |         47 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_two.dart        | Dart       |         35 |          0 |          8 |         43 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_cubit.dart                       | Dart       |         20 |          0 |          7 |         27 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_navigator.dart                   | Dart       |         35 |          6 |          4 |         45 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_state.dart                       | Dart       |         22 |          0 |          4 |         26 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_bloc.dart                     | Dart       |         30 |          3 |          7 |         40 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_event.dart                    | Dart       |          8 |          0 |          6 |         14 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_state.dart                    | Dart       |         54 |          1 |          9 |         64 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_view.dart                     | Dart       |        103 |          4 |          7 |        114 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_bloc.dart                   | Dart       |         27 |          1 |          8 |         36 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_event.dart                  | Dart       |          7 |          0 |          5 |         12 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_state.dart                  | Dart       |         19 |          2 |          5 |         26 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_view.dart                   | Dart       |         95 |          1 |          7 |        103 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_auth_state.dart           | Dart       |         24 |          0 |          5 |         29 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_bloc.dart                 | Dart       |         40 |          0 |         11 |         51 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_confirmation_screen.dart  | Dart       |         88 |         12 |          6 |        106 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_event.dart                | Dart       |         12 |          1 |          9 |         22 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_state.dart                | Dart       |         24 |          0 |          5 |         29 |
| /Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_view.dart                 | Dart       |         98 |          2 |          7 |        107 |
| /Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_cubit.dart                            | Dart       |         74 |          0 |         10 |         84 |
| /Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_navigator.dart                        | Dart       |         47 |          3 |          6 |         56 |
| /Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_state.dart                            | Dart       |         24 |          0 |          6 |         30 |
| /Users/shanehogan/development/white_ui_supabase4/pubspec.yaml                                                         | YAML       |         37 |         55 |         20 |        112 |
| /Users/shanehogan/development/white_ui_supabase4/test/widget_test.dart                                                | Dart       |          0 |         24 |          7 |         31 |
| /Users/shanehogan/development/white_ui_supabase4/web/index.html                                                       | HTML       |         80 |         18 |          7 |        105 |
| /Users/shanehogan/development/white_ui_supabase4/web/manifest.json                                                    | JSON       |         35 |          0 |          1 |         36 |
| Total                                                                                                                 |            |      9,358 |        933 |        963 |     11,254 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
